12-07-2023 4.43.20 PM	This log contains information about the import schema operation into project 'HREmployeeManagementDB' on computer 'ABJIMA-RAJAN' by user 'RajanBakolia'.
12-07-2023 4.43.21 PM	Import of database schema has started.
12-07-2023 4.43.32 PM	Gathering database credentials
12-07-2023 4.43.32 PM	Gathering database options
12-07-2023 4.43.32 PM	Gathering generic database scoped configuration option
12-07-2023 4.43.32 PM	Gathering users
12-07-2023 4.43.32 PM	Gathering roles
12-07-2023 4.43.32 PM	Gathering application roles
12-07-2023 4.43.32 PM	Gathering role memberships
12-07-2023 4.43.32 PM	Gathering filegroups
12-07-2023 4.43.32 PM	Gathering full-text catalogs
12-07-2023 4.43.32 PM	Gathering assemblies
12-07-2023 4.43.32 PM	Gathering certificates
12-07-2023 4.43.32 PM	Gathering asymmetric keys
12-07-2023 4.43.32 PM	Gathering symmetric keys
12-07-2023 4.43.32 PM	Gathering encrypted symmetric keys
12-07-2023 4.43.32 PM	Gathering schemas
12-07-2023 4.43.32 PM	Gathering XML schema collections
12-07-2023 4.43.32 PM	Gathering user-defined data types
12-07-2023 4.43.32 PM	Gathering user-defined types
12-07-2023 4.43.32 PM	Gathering table types
12-07-2023 4.43.32 PM	Gathering unique keys for table types
12-07-2023 4.43.32 PM	Gathering primary keys for table types
12-07-2023 4.43.33 PM	Gathering indexes for table types
12-07-2023 4.43.33 PM	Gathering check constraints for table types
12-07-2023 4.43.33 PM	Gathering default constraints for table types
12-07-2023 4.43.33 PM	Gathering partition functions
12-07-2023 4.43.33 PM	Gathering partition schemes
12-07-2023 4.43.33 PM	Gathering functions
12-07-2023 4.43.33 PM	Gathering encrypted functions
12-07-2023 4.43.33 PM	Gathering aggregates
12-07-2023 4.43.33 PM	Gathering procedures
12-07-2023 4.43.33 PM	Gathering encrypted procedures
12-07-2023 4.43.33 PM	Gathering tables
12-07-2023 4.44.29 PM	Gathering primary keys
12-07-2023 4.44.30 PM	Gathering unique constraints
12-07-2023 4.44.55 PM	Gathering foreign keys
12-07-2023 4.44.55 PM	Gathering default constraints
12-07-2023 4.44.55 PM	Gathering check constraints
12-07-2023 4.44.55 PM	Gathering views
12-07-2023 4.44.55 PM	Gathering encrypted views
12-07-2023 4.44.55 PM	Gathering indexes
12-07-2023 4.44.55 PM	Gathering statistics
12-07-2023 4.44.55 PM	Gathering full-text index stoplists
12-07-2023 4.44.55 PM	Gathering search property lists
12-07-2023 4.44.55 PM	Gathering search properties
12-07-2023 4.44.55 PM	Gathering full-text indexes
12-07-2023 4.44.55 PM	Gathering column store indexes
12-07-2023 4.44.55 PM	Gathering spatial indexes
12-07-2023 4.44.55 PM	Gathering XML indexes
12-07-2023 4.44.55 PM	Gathering Selective XML indexes
12-07-2023 4.44.55 PM	Gathering encrypted triggers
12-07-2023 4.44.55 PM	Gathering triggers
12-07-2023 4.45.45 PM	Gathering encrypted and clr ddl triggers
12-07-2023 4.45.45 PM	Gathering ddl triggers
12-07-2023 4.45.45 PM	Creating edge constraints
12-07-2023 4.45.45 PM	Gathering synonyms
12-07-2023 4.45.45 PM	Gathering defaults
12-07-2023 4.45.45 PM	Gathering data constraint uddt bindings
12-07-2023 4.45.45 PM	Gathering rules
12-07-2023 4.45.45 PM	Gathering data constraint uddt bindings
12-07-2023 4.45.45 PM	Gathering message types
12-07-2023 4.45.45 PM	Gathering queues
12-07-2023 4.45.45 PM	Gathering contracts
12-07-2023 4.45.45 PM	Gathering services
12-07-2023 4.45.45 PM	Gathering event notifications
12-07-2023 4.45.45 PM	Gathering remote service bindings
12-07-2023 4.45.45 PM	Gathering broker priorities
12-07-2023 4.45.45 PM	Gathering signatures
12-07-2023 4.45.45 PM	Gathering compression options
12-07-2023 4.45.45 PM	Gathering sequence types
12-07-2023 4.45.45 PM	Gathering security policies
12-07-2023 4.45.45 PM	Gather column encryption keys
12-07-2023 4.45.45 PM	Gathering column master keys
12-07-2023 4.45.45 PM	Gathering external data sources
12-07-2023 4.45.45 PM	Gathering external file formats
12-07-2023 4.45.45 PM	Gathering external tables
12-07-2023 4.45.45 PM	Gathering XML index compression options
12-07-2023 4.45.45 PM	Gathering extended properties
12-07-2023 4.45.45 PM	Gathering assemblies
12-07-2023 4.45.45 PM	Gathering credentials
12-07-2023 4.45.45 PM	Gathering logins
12-07-2023 4.45.45 PM	Gathering server audits
12-07-2023 4.45.48 PM	Scanning project for duplicate elements
12-07-2023 4.45.48 PM	Finished duplicate element processing
12-07-2023 4.45.49 PM	Finished importing database.
12-07-2023 4.45.49 PM	A summary of the import was saved to the following location: C:\Users\RajanBakolia\Desktop\HR Employee Management App\HREmployeeManagementApp\HREmployeeManagementDB\Import Schema Logs\HREmployeeManagement_20230712111320.log
12-07-2023 4.45.49 PM	Click Finish to continue...
